acc,pre,rec,f1
0.8536585365853658,0.6153846153846154,0.5333333333333333,0.5714285714285715
0.8780487804878049,0.625,0.4166666666666667,0.5
0.8536585365853658,0.4,0.4,0.4000000000000001
0.8780487804878049,0.9285714285714286,0.5909090909090909,0.7222222222222223
0.9024390243902439,0.9047619047619048,0.76,0.8260869565217391
0.926829268292683,0.6666666666666666,0.5,0.5714285714285715
0.9878048780487805,0.9705882352941176,1.0,0.9850746268656716
0.8780487804878049,0.7,0.5,0.5833333333333334
0.8536585365853658,0.5,0.25,0.3333333333333333
0.9390243902439024,0.8333333333333334,0.5555555555555556,0.6666666666666667
0.9512195121951219,1.0,0.7333333333333333,0.846153846153846
0.8292682926829268,0.6363636363636364,0.4117647058823529,0.5
0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683
0.8536585365853658,0.42857142857142855,0.2727272727272727,0.33333333333333326
0.8292682926829268,0.7777777777777778,0.5833333333333334,0.6666666666666666
0.9634146341463414,1.0,0.9387755102040817,0.968421052631579
0.8658536585365854,0.8666666666666667,0.5909090909090909,0.7027027027027029
0.8902439024390244,0.72,0.9,0.7999999999999999
0.9390243902439024,0.6666666666666666,0.5714285714285714,0.6153846153846153
0.8658536585365854,0.8888888888888888,0.8695652173913043,0.8791208791208792
0.8414634146341463,0.6666666666666666,0.631578947368421,0.6486486486486486
0.8902439024390244,0.4,0.25,0.3076923076923077
0.9512195121951219,1.0,0.9230769230769231,0.9600000000000001
0.8658536585365854,0.8888888888888888,0.8695652173913043,0.8791208791208792
0.8902439024390244,0.7647058823529411,0.7222222222222222,0.7428571428571428
0.9024390243902439,1.0,0.2,0.33333333333333337
0.8048780487804879,0.6,0.6,0.6
0.9024390243902439,0.8888888888888888,0.9302325581395349,0.9090909090909092
